name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Subway,1020018,416891.9,424138,Highmoor Lane,Brighouse,West Yorkshire,HD6 4JX,Calderdale District,Subway,Takeaways
Tastebuds Cafe,1020013,388238,410600,Manchester Road,Rochdale,Greater Manchester,OL11 3AW,Rochdale District,,Cafes
Fresh Fare Superstore,9470669,415579,431672,Little Horton Lane,Bradford,West Yorkshire,BD5 0LG,Bradford District,,Speciality Outlets
Punjab Sweet House,1020018,415312,433116,Listerhills Road,Bradford,West Yorkshire,BD7 1JR,Bradford District,,Takeaways
Costa Coffee,1020013,419589.9,433809.2,Dick Lane,Bradford,West Yorkshire,BD3 7AT,Leeds District,Costa,Cafes
K F C Ltd,1020018,419603,433854.6,Dick Lane,"Thornbury, Bradford",West Yorkshire,BD3 7AT,Leeds District,K F C,Takeaways
Coffee Boy,1020013,440867.2,424555.9,Willowbridge Lane,Castleford,West Yorkshire,WF10 5NW,Wakefield District,,Cafes
Fong's Cottage,1020018,443195.2,426039.4,Wheldon Road,Castleford,West Yorkshire,WF10 2JP,Wakefield District,,Takeaways
The Boot Room,1020034,443565,426212.2,Wheldon Road,Castleford,West Yorkshire,WF10 2SD,Wakefield District,,Restaurants
Lanterns Bistro,1020013,399207,427221,Bridge Gate,Hebden Bridge,West Yorkshire,HX7 8EX,Calderdale District,,Cafes
The Kebab Lab,1020018,384521,433846,Town Centre,Burnley,Lancashire,BB10 1LN,Burnley District,,Takeaways
Don'T Tell Titus,1020034,413923,437983,Victoria Road,Shipley,West Yorkshire,BD18 3LA,Bradford District,,Restaurants
The Horncastle,1020034,418655,426047,Bradford Road,Cleckheaton,West Yorkshire,BD19 3TJ,Kirklees District,,Restaurants
The Chicken Shop,1020018,418683,426023,Bradford Road,Cleckheaton,West Yorkshire,BD19 3TJ,Kirklees District,,Takeaways
